Rule	ID	Consequent	TP	FP	TN	FN	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
62	-270461519	3	8	98	192	1	0.668896	0.775479	0.075472	0.354515	0.337931	0.767141	2.630385	1.000000	0.074766	0.550958	0.026756	0.662069	0.888889	0.016085	0.775479	
63	260189274	3	9	66	224	0	0.779264	0.886207	0.120000	0.250836	0.227586	0.878871	4.393939	1.000000	0.120000	0.772414	0.030100	0.772414	1.000000	0.022550	0.886207	
64	1261349966	3	9	65	225	0	0.782609	0.887931	0.121622	0.247492	0.224138	0.880830	4.461538	1.000000	0.121622	0.775862	0.030100	0.775862	1.000000	0.022651	0.887931	
65	1928864071	3	0	2	288	9	0.963211	0.496552	0.000000	0.006689	0.006897	0.000000	0.000000	0.000000	0.000000	-0.006897	0.000000	0.993103	0.000000	-0.000201	0.496552	
66	-1662796503	3	9	64	226	0	0.785953	0.889655	0.123288	0.244147	0.220690	0.882786	4.531250	1.000000	0.123288	0.779310	0.030100	0.779310	1.000000	0.022751	0.889655	
67	-313359690	3	9	67	223	0	0.775920	0.884483	0.118421	0.254181	0.231034	0.876907	4.328358	1.000000	0.118421	0.768966	0.030100	0.768966	1.000000	0.022449	0.884483	
68	-1435227423	3	9	64	226	0	0.785953	0.889655	0.123288	0.244147	0.220690	0.882786	4.531250	1.000000	0.123288	0.779310	0.030100	0.779310	1.000000	0.022751	0.889655	
69	983895897	3	9	66	224	0	0.779264	0.886207	0.120000	0.250836	0.227586	0.878871	4.393939	1.000000	0.120000	0.772414	0.030100	0.772414	1.000000	0.022550	0.886207	
70	184099918	3	8	61	229	1	0.792642	0.839272	0.115942	0.230769	0.210345	0.837804	4.225865	1.000000	0.114286	0.678544	0.026756	0.789655	0.888889	0.019810	0.839272	
71	-672511333	3	9	63	227	0	0.789298	0.891379	0.125000	0.240803	0.217241	0.884736	4.603175	1.000000	0.125000	0.782759	0.030100	0.782759	1.000000	0.022852	0.891379	
72	-2114943766	3	9	63	227	0	0.789298	0.891379	0.125000	0.240803	0.217241	0.884736	4.603175	1.000000	0.125000	0.782759	0.030100	0.782759	1.000000	0.022852	0.891379	
73	-1905600878	3	9	67	223	0	0.775920	0.884483	0.118421	0.254181	0.231034	0.876907	4.328358	1.000000	0.118421	0.768966	0.030100	0.768966	1.000000	0.022449	0.884483	
74	670049648	3	0	1	289	9	0.966555	0.498276	0.000000	0.003344	0.003448	0.000000	0.000000	0.000000	0.000000	-0.003448	0.000000	0.996552	0.000000	-0.000101	0.498276	
75	-2077362887	3	9	65	225	0	0.782609	0.887931	0.121622	0.247492	0.224138	0.880830	4.461538	1.000000	0.121622	0.775862	0.030100	0.775862	1.000000	0.022651	0.887931	
76	1619444008	3	0	0	290	9	0.969900	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
77	1155971436	3	9	68	222	0	0.772575	0.882759	0.116883	0.257525	0.234483	0.874938	4.264706	1.000000	0.116883	0.765517	0.030100	0.765517	1.000000	0.022349	0.882759	
78	1694294230	3	1	6	284	8	0.953177	0.545211	0.142857	0.023411	0.020690	0.329867	5.370370	1.000000	0.066667	0.090421	0.003344	0.979310	0.111111	0.002640	0.545211	
79	443736774	3	9	67	223	0	0.775920	0.884483	0.118421	0.254181	0.231034	0.876907	4.328358	1.000000	0.118421	0.768966	0.030100	0.768966	1.000000	0.022449	0.884483	
80	1148204156	3	9	66	224	0	0.779264	0.886207	0.120000	0.250836	0.227586	0.878871	4.393939	1.000000	0.120000	0.772414	0.030100	0.772414	1.000000	0.022550	0.886207	
81	1327402534	3	9	65	225	0	0.782609	0.887931	0.121622	0.247492	0.224138	0.880830	4.461538	1.000000	0.121622	0.775862	0.030100	0.775862	1.000000	0.022651	0.887931	
82	1226455	3	8	106	184	1	0.642140	0.761686	0.070175	0.381271	0.365517	0.750989	2.431866	1.000000	0.069565	0.523372	0.026756	0.634483	0.888889	0.015279	0.761686	
83	-556085605	4	8	102	186	3	0.648829	0.686553	0.072727	0.367893	0.354167	0.685344	2.053476	1.000000	0.070796	0.373106	0.026756	0.645833	0.727273	0.013221	0.686553	
84	810564420	4	8	109	179	3	0.625418	0.674400	0.068376	0.391304	0.378472	0.672324	1.921601	1.000000	0.066667	0.348801	0.026756	0.621528	0.727273	0.012360	0.674400	
85	-1567314730	4	8	109	179	3	0.625418	0.674400	0.068376	0.391304	0.378472	0.672324	1.921601	1.000000	0.066667	0.348801	0.026756	0.621528	0.727273	0.012360	0.674400	
86	298048424	4	0	4	284	11	0.949833	0.493056	0.000000	0.013378	0.013889	0.000000	0.000000	0.000000	0.000000	-0.013889	0.000000	0.986111	0.000000	-0.000492	0.493056	
87	-1948916229	4	0	0	288	11	0.963211	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
88	-1918826627	4	7	101	187	4	0.648829	0.642835	0.064815	0.361204	0.350694	0.642802	1.814581	1.000000	0.062500	0.285669	0.023411	0.649306	0.636364	0.010123	0.642835	
89	607833654	4	0	5	283	11	0.946488	0.491319	0.000000	0.016722	0.017361	0.000000	0.000000	0.000000	0.000000	-0.017361	0.000000	0.982639	0.000000	-0.000615	0.491319	
90	-1028915106	4	8	104	184	3	0.642140	0.683081	0.071429	0.374582	0.361111	0.681650	2.013986	1.000000	0.069565	0.366162	0.026756	0.638889	0.727273	0.012975	0.683081	
91	-808666952	4	8	104	184	3	0.642140	0.683081	0.071429	0.374582	0.361111	0.681650	2.013986	1.000000	0.069565	0.366162	0.026756	0.638889	0.727273	0.012975	0.683081	
92	512171182	4	0	4	284	11	0.949833	0.493056	0.000000	0.013378	0.013889	0.000000	0.000000	0.000000	0.000000	-0.013889	0.000000	0.986111	0.000000	-0.000492	0.493056	
93	-1479919623	4	8	104	184	3	0.642140	0.683081	0.071429	0.374582	0.361111	0.681650	2.013986	1.000000	0.069565	0.366162	0.026756	0.638889	0.727273	0.012975	0.683081	
